year,cape,spr,y_1,xr,xb
1981,-2.22563974106966,-0.017321633861910768,0.10368943996002386,0.1227350411270944,-0.0937644081963119
1982,-1.9999463887988085,0.012285788952708779,0.09020060012374534,-0.2310069458986974,-0.11387515674374957
1983,-2.1698286256527513,0.009675620325572724,0.062085423103779534,0.118819248872679,0.1837962257118451
1984,-2.2920226875909178,0.0038977173743383886,0.07801466453946854,0.09734243605617517,-0.055242735187947554
1985,-2.3022851657934242,0.025453613536710315,0.05227111403881514,-0.029454029352262948,0.02948427738822207
1986,-2.460870719376364,0.016940910589641235,0.04318704307946519,0.15203096730327553,0.1350025268661063
1987,-2.702850580053065,0.0011997547003382292,0.04349887242720021,0.2016404896739506,0.12099141800232416
1988,-2.6317691699238717,0.011729128081926832,0.04379330376958887,-0.07693782422492908,-0.07722425392654395
1989,-2.713904527225895,0.0006106117299761321,0.05915448939143162,0.09503772257398012,-0.017496888006042793
1990,-2.836082377785895,0.0015581630669916219,0.05040771655283857,0.12104015894603808,0.05329400510465484
1991,-2.747667638037535,0.01801107436537259,0.031006694799008208,-0.08763406852760414,0.022204637526583276
1992,-2.9843208204602822,0.026832655535759413,0.013747882119848787,0.20794755698704082,0.0779176331976648
1993,-3.0117734631024304,0.027106431837266787,0.009831529711302859,0.03513653197197707,0.05374260656312391
1994,-3.0639503409363216,0.011705965073976667,0.01916543174243665,0.07684161236215356,0.07270476137390197
1995,-3.0066286628149888,0.009144636815976867,0.03936816888559248,-0.029870592923251275,-0.12478948121306219
1996,-3.2093290064565556,-0.0017068835787386605,0.03262504279561759,0.23955977049846525,0.13436656938513192
1997,-3.3440226193338787,0.006890311588446087,0.030612471521028563,0.18557241254890952,-0.05264214090291927
1998,-3.4922551514112237,-0.005594635516930922,0.035804452311604965,0.18944287683043698,0.06155974369235805
1999,-3.703200360596768,-0.009561917217713472,0.032642888679603146,0.21751832348346203,0.04973811600285567
2000,-3.7790075516143142,-0.00238784443256769,0.04083353119240325,0.09203668449803024,-0.13299121579648543
2001,-3.6103466142689697,0.0054376594523019295,0.019439581635660765,-0.11747400040504727,0.0988694761359792
2002,-3.4103951004331607,0.024290193860871268,-0.0005342731492362085,-0.18945526660102532,0.014367578434497312
2003,-3.13106479340144,0.025404903553604134,-0.010277339366436196,-0.24031092600769383,0.09337808262256538
2004,-3.319934553901899,0.021552596151838292,-0.005326616855399346,0.23972736995450217,0.016232331075435244
2005,-3.280431803819315,0.008938366001300393,0.008204272208061823,0.04610666695155117,0.013938873011517644
2006,-3.275963002067896,-0.005916713518655928,0.025904239552921572,0.06489721541902035,-0.014585474455202023
2007,-3.303494017892406,-0.0060065285951441776,0.02939411169956745,0.07516560942939551,-0.03364381898123623
2008,-3.178983304954095,0.007581434049587558,0.005207650911926494,-0.06403881203770355,0.07900794764869405
2009,-2.7196264000683232,0.008260030031935739,-0.0031411366341472288,-0.473607522800403,0.07237238091306855
2010,-3.0217829782247834,0.030695104549979875,-0.01877295323139794,0.2708047296604516,-0.05142725733496509
2011,-3.1345502675306607,0.02488402891378546,-0.01500765090620661,0.1482419870925305,0.0480498057503288
