year,y_1,y_n_real_obs,y_n_real_EH,term_prem,eh_method,state_var_y1_mean,state_var_y1_lag_coeff,state_var_max_abs_eig,infl_ar1_mu,infl_ar1_phi,eh_spread
1939,0.003639916825013417,0.005385255953854275,0.00708278350323865,-0.0016975275493843747,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.003442866678225233
1940,-0.007300737158120591,0.002130141844677559,0.0023098767218390644,-0.0001797348771615053,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.009610613879959656
1941,-0.010363304419649241,-0.0008687831932387702,0.0014675370399877276,-0.002336320233226498,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.011830841459636969
1942,-0.04336977796443498,-0.0014373772843126187,-0.006205406171008476,0.004768028886695857,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.03716437179342651
1943,-0.03959234941788579,-0.0008196807332699028,-0.004897915512045649,0.004078234778775746,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.034694433905840136
1944,-0.01703438240889127,0.002917071479776205,0.0025270692064361692,0.0003900022733400359,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.01956145161532744
1945,-0.01424001540817395,0.0022512620620919015,0.0025443721528390735,-0.000293110090747172,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.016784387561013022
1946,-0.013944594758884276,0.000523457432449758,9.423655343754976e-05,0.0004292208790122083,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.014038831312321826
1947,-0.06754998240280023,-0.008058327892328559,-0.016680308306599542,0.008621980414270983,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.05086967409620069
1948,-0.03236359019581071,-0.0009988092409240236,-0.0030173643761172665,0.002018555135193243,baseline_state_var,0.020226026993392984,0.8798696810275917,0.9295723156955542,0.021066761727161383,0.38836753275618896,0.029346225819693445
