year,theta,y_1,y_n_real_obs,y_n_real_EH,term_prem,y_n_real_theta,spr_theta,r_n_real_theta,duration_theta,xb_theta
1991,0.5,0.031006694799008208,0.05430161119748641,0.033166243065063966,0.021135368132422443,0.04373392713127519,0.012727232332266983,0.07556557458475943,8.278480738755665,0.02515785803192086
1992,0.5,0.013747882119848787,0.04629343682107388,0.023441840159211157,0.022851596661862726,0.034867638490142516,0.02111975637029373,0.1082670382300075,8.590788941303286,0.07726034343099929
1993,0.5,0.009831529711302859,0.04236865792029418,0.020645872433396058,0.02172278548689812,0.031507265176845115,0.021675735465542256,0.06037552307537111,8.713677374184831,0.046627640955522326
1994,0.5,0.01916543174243665,0.034456967968153604,0.02011468336119246,0.014342284606961145,0.02728582566467303,0.008120393922236381,0.06407008762837674,8.871714635950546,0.05423855791707388
1995,0.5,0.03936816888559248,0.053516707751985214,0.03350109955032176,0.020015608201663454,0.04350890365115349,0.0041407347655610036,-0.10041761476167232,8.286198911363073,-0.11958304650410898
1996,0.5,0.03262504279561759,0.03364079602688686,0.02275024878685514,0.01089054724003172,0.028195522406871003,-0.00442952038874659,0.1550852454025322,8.837308606862933,0.11571707651693973
1997,0.5,0.030612471521028563,0.04192128123043326,0.024247288746598827,0.017673992483834434,0.033084284988516045,0.0024718134674874825,-0.010119218651165163,8.655688709445025,-0.042744261446782755
1998,0.5,0.035804452311604965,0.03311886290044132,0.021482678477372213,0.011636184423069105,0.027300770688906767,-0.008503681622698198,0.07736107011294868,8.871147825530954,0.04674859859192012
1999,0.5,0.032642888679603146,0.025375475467149612,0.01619745944610986,0.00917801602103975,0.020786467456629737,-0.01185642122297341,0.07857581441049338,9.123264232583752,0.04277136209888842
2000,0.5,0.04083353119240325,0.04306482306112104,0.02458827785597913,0.01847654520514191,0.033826550458550084,-0.007006980733853169,-0.08514157238279316,8.628589498101155,-0.1177844610623963
2001,0.5,0.019439581635660765,0.028468883304779417,0.014102314437512526,0.014366568867266892,0.02128559887114597,0.0018460172354852061,0.12949632203441608,9.10358350123497,0.08866279084201283
2002,0.5,-0.0005342731492362085,0.02846419777744644,0.009631089514200917,0.018833108263245524,0.01904764364582368,0.019581916795059887,0.0394210559115703,9.19230611520342,0.019981474275909537
2003,0.5,-0.010277339366436196,0.01848068474380955,0.005068202517243112,0.013412482226566437,0.011774443630526332,0.022051782996962525,0.07863192460824175,9.489367010594249,0.07916619775747796
2004,0.5,-0.005326616855399346,0.019750539613929807,0.005652298343966372,0.014098241269963434,0.012701418978948088,0.018028035834347436,0.0039050096880005603,9.450749846412279,0.014182349054436756
2005,0.5,0.008204272208061823,0.019570585977236717,0.009858794905738717,0.009711791071498,0.014714690441487717,0.006510418233425894,-0.004312234523894898,9.367647308217258,0.0010143823315044483
2006,0.5,0.025904239552921572,0.021389396398073853,0.01578191494284101,0.005607481455232842,0.018585655670457432,-0.00731858388246414,-0.017676181336903324,9.210776093874513,-0.025880453544965147
2007,0.5,0.02939411169956745,0.025179684451860383,0.01801127906211194,0.0071684053897484445,0.02159548175698616,-0.007798629942581289,-0.006127352407532538,9.091395579109856,-0.03203159196045411
2008,0.5,0.005207650911926494,0.014448596882326841,0.007810549199075685,0.006638047683251156,0.011129573040701262,0.005921922128774768,0.1062792892753011,9.516364675523285,0.07688517757573365
2009,0.5,-0.0031411366341472288,0.005100509702614959,0.005174044483309164,-7.353478069420556e-05,0.005137277092962062,0.008278413727109291,0.06216215057530871,9.772538018893874,0.056954499663382216
2010,0.5,-0.01877295323139794,0.015187257401284692,0.002126833070473666,0.013060424330811025,0.00865704523587918,0.02742999846727712,-0.025740022758469837,9.620897116830974,-0.022598886124322606
2011,0.5,-0.01500765090620661,0.012666235605159105,0.0015068052148380733,0.011159430390321032,0.0070865204099985896,0.0220941713162052,0.02219637817922463,9.68814424159494,0.040969331410622575
1920,0.75,0.004832438712107395,0.020152915521359022,0.019684221813812994,0.0004686937075460279,0.020035742094472515,0.01520330338236512,-0.06698665298838437,9.152980803947633,-0.03598827046837582
1921,0.75,0.048736530200716555,0.028259900629850544,0.03673477222419337,-0.008474871594342827,0.03037861852843625,-0.018357911672280305,-0.06428953092923614,8.75552698560128,-0.06912196964134354
1922,0.75,0.07639096133654692,0.029646035036128233,0.04394517078845067,-0.014299135752322438,0.033220818974208845,-0.04317014236233808,0.008335856272758901,8.650694704885275,-0.04040067392795765
1923,0.75,0.04460905868015739,0.024432340687038843,0.0307990667904263,-0.006366726103387458,0.026024022212885706,-0.018585036467271682,0.08828131384819926,8.91976015213056,0.011890352511652338
1924,0.75,0.02051446122964303,0.018583018451031642,0.021608975394846946,-0.0030259569438153035,0.019339507686985467,-0.0011749535426575641,0.07896377399144833,9.180664992838068,0.03435471531129094
1925,0.75,0.02508481579960746,0.018144459919865557,0.021493998335545626,-0.0033495384156800694,0.018981844523785575,-0.006102971275821885,0.02226543020540253,9.194933470699425,0.0017509689757594996
1926,0.75,0.01578320288464878,0.014245147057413813,0.016196470684463726,-0.0019513236270499133,0.014732977964176292,-0.0010502249204724888,0.05380102330566319,9.366897240310092,0.028716207506055733
