year,rtb,xr,cape,y_1_nom,spr_nom,y_10_nom_obs,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,long_yield_pct,maturity_n,long_yield_source
1932,0.13006902442067608,-0.6205956713143197,-2.2313475385736523,0.033047854046200344,0.00309119256967285,0.036139046615873194,0.08983416505326433,0.016865270548013376,0.03280569372480321,0.01594042317678983,0.0033333528910699864,0.020198623439083362,-0.06963554161418097,3.68,20,shiller
1933,0.13608007994443552,-0.13040832703695046,-2.166541537565079,0.014494446150452565,0.018069544722810107,0.03256399087326267,0.05944289821868817,0.01374772715875539,0.030980467444891135,0.017232740286135743,0.001583523428371536,0.015331250587126926,-0.044111647631561245,3.31,20,shiller
1934,-0.008495072074245998,0.42380598172104117,-2.56687978746908,0.01004933585300144,0.020673836789839143,0.030723172642840583,-0.027480913540291422,0.009483195520284865,0.0354171350382607,0.02593393951797584,-0.00469396239542012,0.004789233124864746,0.032270146665156166,3.12,20,shiller
1935,-0.01980362729667969,-0.09001298276830394,-2.4419911431950623,0.007472014838700995,0.020045871198038252,0.027517886036739245,-0.014634668458287294,0.007674063065056029,0.031309551943219174,0.023635488878163146,-0.003791665906479929,0.0038823971585761003,0.018517065616863393,2.79,20,shiller
1936,-0.0071267845824518564,0.43959232346078136,-2.8383389998802047,0.007472014838700995,0.018682942638150214,0.02615495747685121,-0.02739174897124062,0.007466653460432691,0.0319022719062607,0.02443561844582801,-0.0057473144294094905,0.0017193390310232008,0.02911108800226382,2.65,20,shiller
1937,-0.014034190382262468,0.2825691912723312,-3.0735606043631565,0.008761505668572752,0.017685664346275543,0.026447170014848295,-0.02483506622564931,0.005643771398362411,0.02975622645928135,0.024112455060918938,-0.003309056444433054,0.0023347149539293573,0.02716978117957867,2.68,20,shiller
1938,0.0016943384454803992,-0.40629905244008735,-2.6035383562260628,0.008761505668572752,0.01651630151569579,0.02527780718426854,0.008138741607146636,0.006470716379815769,0.026969121808842596,0.020498405429026825,-0.001691314624574055,0.004779401755241714,-0.0033593398519049227,2.56,20,shiller
1939,0.022946140660529163,0.13968898771934105,-2.7472474787834007,0.005584378293900615,0.017741447009596074,0.02332582530349669,-0.0033498017146099367,0.007145619525862136,0.02814060555721672,0.020994986031354586,-0.004814780253720029,0.002330839272142107,0.005680640986752044,2.36,20,shiller
1940,0.012752867772513131,0.03132597572619654,-2.7959682989448296,0.005584378293900615,0.0162749560589929,0.021859334352893518,-0.0031241735507826288,0.0063927646038235905,0.026973402514801993,0.020580637910978403,-0.005114068161908476,0.001278696441915115,0.004402869992697744,2.21,20,shiller
1941,-0.008701578953575819,-0.09392701796072803,-2.6321879513661073,0.005286004429237356,0.014026306603135455,0.01931231103237281,-0.005919573729218662,0.006736916300011465,0.027141276484658285,0.02040436018464682,-0.007828965452285473,-0.001092049152274008,0.004827524576944654,1.95,20,shiller
1942,-0.10219991054090237,-0.10801701554803904,-2.3127023833670393,0.006280237957150484,0.018022054565814377,0.024302292522964862,-0.048342493043103923,0.006901892194774999,0.033588767866152655,0.026686875671377657,-0.009286475343187793,-0.0023845831484127942,0.04595790989469113,2.46,20,shiller
1943,-0.06737267161761493,0.17454710862230233,-2.3175263366576364,0.0068763039394321565,0.017523582884103023,0.02439988682353518,-0.04211923561773909,0.008708994845749485,0.03476605010620274,0.026057055260453255,-0.01036616328266756,-0.0016571684369180752,0.040462067180821015,2.47,20,shiller
1944,-0.02228028035202333,0.20650718583253666,-2.402648753810159,0.007174203748000358,0.01732326785238708,0.024497471600387438,-0.023489667316552058,0.009167745254949127,0.03310533072994178,0.023937585474992654,-0.008607859129554345,0.0005598861253947821,0.02404955344194684,2.48,20,shiller
1945,-0.015554047329555952,0.17021255276010616,-2.481606496919498,0.007472014838700995,0.015951500104887065,0.023423514943588058,-0.018402528129261308,0.008844575512297111,0.031912377300343533,0.023067801788046422,-0.008488862356755476,0.0003557131555416357,0.018758241284802944,2.37,20,shiller
1946,-0.014751121946009046,0.3207058313976317,-2.7487546320888896,0.007571265496318075,0.01409237413970825,0.021663639636026324,-0.022596085789639616,0.007914218861030513,0.030829291045950696,0.022915072184920185,-0.009165651409924373,-0.0012514325488938594,0.021344653240745755,2.19,20,shiller
1947,-0.1590600755545494,-0.12334466810048499,-2.4396735809364274,0.01004933585300144,0.012201273081818318,0.022250608934819758,-0.06759736892578865,0.006400425654740543,0.034937217317894155,0.02853679166315361,-0.012686608383074397,-0.006286182728333854,0.06131118619745479,2.25,20,shiller
1948,-0.08737277715446687,0.025472642305530036,-2.343663949625155,0.013409686909917676,0.010697388433315448,0.024107075343233125,-0.03880962296954707,0.009702209671552296,0.03576732528057554,0.02606511560902324,-0.011660249937342413,-0.0019580402657901168,0.03685158270375695,2.44,20,shiller
