year,P,D,R,RLONG,CPI,CAPE,pi,y_1_nom,y_10_nom_obs,spr_nom,cape,rtb,xr,rtb_z,xr_z,y_1_nom_z,spr_nom_z,cape_z,y_1_real,y_10_real_EH,y_10_nom_EH,pi_10_VAR,term_prem_nom,y_10_real_obs_implied,spr_real_obs_implied,theta,y_10_real_theta,spr_theta,r_10_real_theta,duration_theta,xb_theta
1951,21.21,1.41,2.12,2.57,25.4,11.895759839437062,0.07774875287437763,0.02097840638519171,0.02537530633122824,0.00439689994603653,-2.476182020608157,-0.06463511372899453,0.27959134237478034,-0.06463511372899453,0.27959134237478034,0.02097840638519171,0.00439689994603653,-2.476182020608157,-0.031006668894483804,0.008287554806881143,0.03463237056224198,0.026344815755360837,-0.009257064231013738,-0.0009695094241325957,0.03003715947035121,1.0,-0.0009695094241325957,0.03003715947035121,0.07247273640855097,10.043762174876326,0.060917359423713645
1952,24.19,1.41,2.39,2.68,26.5,12.527059748172302,0.042395558967685765,0.023618865598633996,0.026447170014848295,0.0028283044162142994,-2.5278910844022335,-0.021417152582494055,0.16714117652373406,-0.021417152582494055,0.16714117652373406,0.023618865598633996,0.0028283044162142994,-2.5278910844022335,-0.0065026526614994536,0.010777096624840606,0.03285825356009956,0.022081156935258955,-0.006411083545251266,0.0043660130795893405,0.010868665741088794,1.0,0.0043660130795893405,0.010868665741088794,-0.04922270602649448,9.806217898457733,-0.018216037132010674
1953,26.18,1.45,2.58,2.83,26.6,13.010773447995184,0.0037664827954768648,0.025472795973031023,0.027906953253007877,0.0024341572799768535,-2.5657777410259706,0.019852382803157133,0.10934394871475514,0.019852382803157133,0.10934394871475514,0.025472795973031023,0.0024341572799768535,-2.5657777410259706,0.014195270305024613,0.01301526185862506,0.03163934845342069,0.018624086594795627,-0.003732395200412811,0.00928286665821225,-0.004912403646812363,1.0,0.00928286665821225,-0.004912403646812363,-0.03893287090857568,9.594285157877353,-0.03243021824707623
1954,25.46,1.54,1.8,2.48,26.9,12.002650554927829,0.011215070820140003,0.017839918128331002,0.024497471600387438,0.006657553472056436,-2.485127504975017,0.01425772515289102,0.00536830954954421,0.01425772515289102,0.00536830954954421,0.017839918128331002,0.006657553472056436,-2.485127504975017,0.010312119182779887,0.009350638924559354,0.027036967057718818,0.017686328133159464,-0.0025394954573313804,0.006811143467227974,-0.0035009757155519128,1.0,0.006811143467227974,-0.0035009757155519128,0.030525560592869656,9.700004074692865,0.016330290287845044
1955,35.6,1.64,1.81,2.61,26.7,15.990781062969836,-0.0074627212015896,0.017938145131012995,0.02576520788602641,0.007827062755013416,-2.7720123726178567,0.025302639329920603,0.36243494115127484,0.025302639329920603,0.36243494115127484,0.017938145131012995,0.007827062755013416,-2.7720123726178567,0.0010510141493960661,0.009487812752646067,0.02905962147912202,0.019571808726475952,-0.0032944135930956103,0.006193399159550457,0.0051423850101543905,1.0,0.006193399159550457,0.0051423850101543905,0.012185521461140693,9.726683832188819,0.0018734022783608063
1956,44.15,1.74,3.21,2.9,26.8,18.292585385418896,0.003738322110607158,0.03159556158975056,0.02858745685191255,-0.0030081047378380105,-2.906495807548065,0.014199823020405837,0.2359634454177444,0.014199823020405837,0.2359634454177444,0.03159556158975056,-0.0030081047378380105,-2.906495807548065,0.012059490634683128,0.014194511153219685,0.03371995959822531,0.019525448445005623,-0.005132502746312759,0.009062008406906926,-0.0029974822277762016,1.0,0.009062008406906926,-0.0029974822277762016,-0.018840046780222587,9.603664810678998,-0.019891060929618655
1957,45.43,1.79,3.86,3.46,27.6,16.717780078533004,0.029413885206293407,0.037873652428081515,0.034014878587277655,-0.00385877384080386,-2.8164728284191156,0.0021816763834571554,0.03562904301764726,0.0021816763834571554,0.03562904301764726,0.037873652428081515,-0.00385877384080386,-2.8164728284191156,0.01609287180267372,0.015287669691457093,0.03679149635944786,0.021503826667990767,-0.002776617772170205,0.012511051919286888,-0.0035818198833868324,1.0,0.012511051919286888,-0.0035818198833868324,-0.020612405891057242,9.45866209808878,-0.032671896525740374
1958,41.12,1.75,2.54,3.09,28.6,13.788431552307637,0.03559094510270253,0.025082780367463156,0.03043220712020198,0.0053494267527388235,-2.6238299472877906,0.0022827073253789826,-0.09587405158950779,0.0022827073253789826,-0.09587405158950779,0.025082780367463156,0.0053494267527388235,-2.6238299472877906,0.010762646280962573,0.0097383484643544,0.030217022268617715,0.020478673804263315,0.00021518485158426512,0.009953533315938665,-0.0008091129650239087,1.0,0.009953533315938665,-0.0008091129650239087,0.03414423759458546,9.565882235102436,0.018051365791911737
1959,55.62,1.83,3.74,4.02,29.0,17.98033934299339,0.013889112160667093,0.03671758293516277,0.039413002356835036,0.002695419421672264,-2.889278902224295,0.011193668206796063,0.3093376027803918,0.011193668206796063,0.3093376027803918,0.03671758293516277,0.002695419421672264,-2.889278902224295,0.004856064927687075,0.01466550985242263,0.04010650098305654,0.025440991130633913,-0.0006934986262215059,0.013972011226201123,0.009115946298514048,1.0,0.013972011226201123,0.009115946298514048,-0.024468275227730096,9.398181195678907,-0.03523092150869267
1960,58.03,1.95,4.28,4.72,29.3,18.33828499437557,0.010291686036547724,0.04190940307720962,0.04611993561355312,0.0042105325363435,-2.908990950698765,0.026425896898615048,0.038750741579881655,0.026425896898615048,0.038750741579881655,0.04190940307720962,0.0042105325363435,-2.908990950698765,0.020643030254005774,0.015086434875385293,0.04057487313196025,0.025488438256574958,0.005545062481592866,0.02063149735697816,-1.1532897027613509e-05,1.0,0.02063149735697816,-1.1532897027613509e-05,-0.041955559970175055,9.12938715764083,-0.04681162489786213
