stat,lambda_val,point_estimate,boot_mean,boot_sd,p05,p50,p95,n_used,n_explosive_excluded
Phi_xr_y1,0.5,-1.3875873051736332,-1.161295512692635,1.7536575562741383,-3.9643768705070457,-1.1731558426089657,1.5437583808397073,1000,0
Phi_spr_spr,0.5,0.6036253022459445,0.4352465753910326,0.20260821323686898,0.0906900145453631,0.44837477644204515,0.7183481889326985,1000,0
spr_halflife,0.5,1.373108036459245,2.822247402460374,54.430409072741135,0.32725614764002814,0.8635826717218875,2.0300043740356086,997,0
state_max_eig,0.5,0.9344499017679996,0.7968858361791367,0.06559152432663773,0.6784958301517445,0.801755765726937,0.8929734120257428,1000,0
sd_v_xb,0.5,0.0569273227906123,0.07563104566906913,0.013716545079653702,0.05412642490268465,0.07514378258273294,0.09893024939454535,1000,0
corr_vxr_vxb,0.5,-0.0051839799278611,0.014667613216375431,0.11372110168951316,-0.15875286183167814,0.0156358506936255,0.19768392079758018,1000,0
corr_vy10_vxb,0.5,-0.9917666304585796,-0.9947714798781289,0.0024894179722530227,-0.9983210195409419,-0.9947908150896514,-0.990506784589748,1000,0
E_spr,1.0,0.0070914555115501,0.004788009235891532,0.002282724280764737,0.00087374701091855,0.0048048264193573005,0.008550451957474026,1000,0
sd_spr,1.0,0.0184032897158215,0.01900810683744832,0.003158408305996005,0.014164016742537935,0.0189569772472945,0.024264125145666275,1000,0
E_xb,1.0,0.0064463816132359,0.000908937871959301,0.004281117770953164,-0.006155370110675455,0.00114061468095355,0.007637628999350579,1000,0
sd_xb,1.0,0.0637700642894649,0.11063358077536989,0.024160385899280396,0.07276172007586482,0.11021103212350185,0.15089915413918806,1000,0
Sharpe_xb,1.0,0.1329729279319238,0.0674948717430911,0.038020885815223567,0.00652726382784396,0.06647355429413584,0.1286246277809171,1000,0
E_xr,1.0,0.048028200074335,0.05352813416500449,0.017238059131654864,0.023612914751159057,0.05386854980993365,0.08086145305907462,1000,0
sd_xr,1.0,0.1945570010585953,0.19069678130753487,0.019487301030756597,0.1585064338813701,0.19102597545241834,0.22298839672448748,1000,0
Sharpe_xr,1.0,0.3441377747420527,0.38224948259523717,0.10066220457894831,0.21780163952073434,0.38013718859150514,0.5662415018726688,1000,0
Phi_xb_cape,1.0,-0.0069278740040214,-0.013873748285364485,0.032236133600014164,-0.0664994360604997,-0.012495499673749199,0.033507352256085074,1000,0
Phi_xb_spr,1.0,1.5015789611486756,2.722021765579666,1.021628666565418,1.3959650491762974,2.5554517951431697,4.662225795854581,1000,0
Phi_xb_y1,1.0,0.3886315341622052,1.7600719034135062,0.6794855710028249,0.8287526714295662,1.6752847508332713,2.9352418679190215,1000,0
Phi_xr_cape,1.0,0.1377726991183085,0.11459989634550723,0.0611794972358539,0.026605467830647305,0.10888630806462116,0.21419497551983274,1000,0
Phi_xr_spr,1.0,0.1236649300447636,0.12384184457589484,1.513643498393762,-2.2499225717397358,0.0569041465595201,2.6708197879041147,1000,0
Phi_xr_y1,1.0,-1.4153984602260627,-1.2317448933840756,1.0845722643700648,-2.8802192720604243,-1.2366159842602726,0.5161280772807523,1000,0
Phi_spr_spr,1.0,0.6598328067912629,0.5284633698711336,0.1494134000760789,0.2695405988946203,0.5433529792129119,0.7434634202848137,1000,0
spr_halflife,1.0,1.6671457359607784,1.2404357674857593,0.5652609874928949,0.5345069325150108,1.1363140884449345,2.3382716448699656,1000,0
state_max_eig,1.0,0.9344499017679996,0.7968858361791366,0.06559152432663774,0.6784958301517443,0.8017557657269375,0.8929734120257427,1000,0
sd_v_xb,1.0,0.0602270700961502,0.1031525534246656,0.022052412810609063,0.06839301728918286,0.1029537847892369,0.14021005114430032,1000,0
